match_id,match_name,player,total_xA,shot_statsbomb_xg,shot_outcome,pass_goal_assist,pass_through_ball,pass_cross,dribble_outcome,interception_outcome,duel_outcome,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,foul_won_defensive,foul_committed_card,goalkeeper_outcome,goalkeeper_technique,goalkeeper_type,successful_passes,unsuccessful_passes,pass_ratio,raw_rating,z_score,player_rating
3890270,Hoffenheim vs Bayern Munich,Mario Götze,0.8279369,0.0,0.0,1,0,1,8.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,175,5,0.9722222222222222,24.900477329889934,1.3777152829487882,9.663417578196066
3890270,Hoffenheim vs Bayern Munich,Medhi Amine El Mouttaqi Benatia,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,89,4,0.956989247311828,4.370967741935484,-0.8790275110970716,6.758772718747599
3890270,Hoffenheim vs Bayern Munich,Márcio Rafael Ferreira de Souza,0.0,0.0,0.0,0,0,0,0.0,2.0,1.0,0,0,0,0,-2.0,0.0,0.0,0.0,121,5,0.9603174603174603,15.880952380952381,0.38622798769577915,8.60134434467864
3890270,Hoffenheim vs Bayern Munich,Philipp Lahm,0.18870644,0.0,0.0,0,0,1,-2.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,150,8,0.9493670886075949,1.4142205790628362,-1.2040531930326743,6.457138039203822
3890270,Hoffenheim vs Bayern Munich,Robert Lewandowski,0.0,1.398232296,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1.0,14.592929183999999,0.24463975073215932,8.386529235103602
3890270,Hoffenheim vs Bayern Munich,Thiago Alcântara do Nascimento,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,57,7,0.890625,2.671875,-1.0658032976959069,6.5730251397898165
3890270,Hoffenheim vs Bayern Munich,Thomas Müller,1.4699768,1.2984622670000001,1.0,0,0,3,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,167,10,0.943502824858757,22.43428777176328,1.1066150167583564,9.463079176066843
3890270,Hoffenheim vs Bayern Munich,Xabier Alonso Olano,0.470815,0.0,0.0,0,1,1,2.0,0.0,2.0,1,0,1,1,0.0,0.0,0.0,0.0,179,12,0.93717277486911,15.723963392966706,0.36897069443880337,8.57570086312758
3890278,Bayern Munich vs Bayer Leverkusen,Arjen Robben,0.47826064,0.8557044,1.0,0,0,5,12.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,120,9,0.9302325581395349,37.64829718340756,2.7790420156195186,9.989096105443066
3890278,Bayern Munich vs Bayer Leverkusen,Arturo Erasmo Vidal Pardo,0.21806471,0.0,0.0,0,0,0,0.0,-1.0,5.0,2,0,0,1,0.0,0.0,0.0,0.0,216,9,0.96,10.534194116592406,-0.20152390832025213,7.680577873516218
3890278,Bayern Munich vs Bayer Leverkusen,Dante Bonfim da Costa Santos,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,48,1,0.9795918367346939,2.9387755102040813,-1.0364637851980714,6.599971652345793
3890278,Bayern Munich vs Bayer Leverkusen,David Olatukunbo Alaba,0.0,0.0,0.0,0,0,2,0.0,0.0,-2.0,1,0,0,0,0.0,0.0,0.0,0.0,229,6,0.9744680851063829,4.423404255319149,-0.8732633342560959,6.765039121481197
3890278,Bayern Munich vs Bayer Leverkusen,Douglas Costa de Souza,0.31127384,0.227757215,0.0,1,0,6,-4.0,0.0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,159,11,0.9352941176470588,8.650732771893509,-0.4085667409462739,7.365715284876446
3890278,Bayern Munich vs Bayer Leverkusen,Juan Bernat Velasco,0.0,0.0,0.0,0,0,0,2.0,0.0,-2.0,0,0,0,0,-2.0,0.0,0.0,0.0,144,10,0.935064935064935,11.805194805194805,-0.061806900812495714,7.901433215886293
3890278,Bayern Munich vs Bayer Leverkusen,Manuel Neuer,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3.0,13.0,90,4,0.9574468085106383,18.872340425531917,0.7150616300620236,9.050858076081543
